"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","F1 Rivers and streams biome","2022","ha","14841.3","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T2 Temperate-boreal forests and woodlands biome","2021","ha","61500","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T7 Intensive land-use biome","2024","ha","201916","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","F1 Rivers and streams biome","2021","ha","58600","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288682-2","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.1 Rate of invasive alien species establishment","headline","Fish","2024","number of species","13","Based on available national data on alien fish species; represents species inventory rather than modelled establishment rate.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288682-2","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.1 Rate of invasive alien species establishment","headline","Mammals","2013","number of species","5","Based on published assessment of alien mammals in Mongolia; represents species inventory rather than modelled establishment rate. Source: Shar et al. (2013).",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288682-2","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.1 Rate of invasive alien species establishment","headline","Fungi","2024","number of species","18","Based on global database of alien macrofungi; represents species inventory rather than modelled establishment rate. Source: Monteiro et al.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288682-2","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.1 Rate of invasive alien species establishment","headline","Insects","2010","number of species","27","Based on national literature on agricultural pests; represents species inventory rather than modelled establishment rate. Source: Chuluunjav (2010).",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288682-2","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.1 Rate of invasive alien species establishment","headline","Flora","2024","number of species","154","Based on national compilation of alien flora; this represents species inventory rather than modelled establishment rate. Source: Gundegmaa et al. (2024).",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2016","m²/person","1.7","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2023","m²/person","6.5","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2019","m²/person","4.1","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288687-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.1 Average share of the built-up area of cities that is green or blue space for public use for all","headline","green space","2018","m²/person","3.2","",""
